Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
75,GTD,Fabian Schiller,1,02:17.2,02:17.2,Green,Track,26.899,50.139,32.047
32,GTD,Mike Skeen,1,02:19.1,02:19.1,Green,Track,27.874,50.652,32.35
93,GTD,Kyle Marcelli,1,02:20.1,02:20.1,Green,Track,28.209,50.872,32.446
70,GTD,Marvin Kirchhofer,1,02:20.8,02:20.8,Green,Track,28.547,51.351,32.198
12,GTD,Aaron Telitz,1,02:21.2,02:21.2,Green,Track,28.708,51.598,32.05
1,GTD,Madison Snow,1,02:22.2,02:22.2,Green,Track,28.729,51.458,32.504
96,GTD,Robby Foley,1,02:22.4,02:22.4,Green,Track,29.565,51.107,32.371
47,GTD,Giorgio Sernagiotto,1,02:22.6,02:22.6,Green,Track,29.255,51.564,32.459
66,GTD,Sheena Monk,1,02:25.6,02:25.6,Green,Track,30.044,53.607,33.16
44,GTD,John Potter,1,02:25.6,02:25.6,Green,Track,30.403,52.628,32.843
78,GTD,Misha Goikhberg,1,02:26.6,02:26.6,Green,Track,29.854,53.358,33.572
27,GTD,Ian James,1,02:26.9,02:26.9,Green,Track,31.233,53.123,33.504
83,GTD,Rahel Frey,1,02:27.2,02:27.2,Green,Track,30.653,53.397,33.085
023,GTD,Alessio Rovera,1,02:27.2,02:27.2,Green,Track,29.685,53.475,32.792
57,GTD,Russell Ward,1,02:27.3,02:27.3,Green,Track,30.337,52.585,32.929
21,GTD,Simon Mann,1,02:28.3,02:28.3,Green,Track,31.285,53.461,33.254
16,GTD,Ryan Hardwick,1,02:28.6,02:28.6,Green,Track,30.773,54.097,33.805
77,GTD,Alan Brynjolfsson,1,02:29.3,02:29.3,Green,Track,31.059,54.74,33.475
80,GTD,PJ Hyett,1,02:29.6,02:29.6,Green,Track,30.992,54.521,33.5
42,GTD,Alessio Deledda,1,02:30.1,02:30.1,Green,Track,31.214,53.864,33.615
91,GTD,Alan Metni,1,02:31.2,02:31.2,Green,Track,31.577,54.405,34.109
92,GTD,David Brule,1,02:31.9,02:31.9,Green,Track,31.323,54.975,34.788
19,GTD,Claudio Schiavoni,1,02:34.4,02:34.4,Green,Track,32.424,55.233,34.4
75,GTD,Fabian Schiller,2,01:59.0,04:16.2,Yellow,Track,25.018,55.214,38.813
32,GTD,Mike Skeen,2,02:00.8,04:19.8,Yellow,Track,25.183,56.566,39.01
93,GTD,Kyle Marcelli,2,02:00.7,04:20.8,Yellow,Track,25.306,56.231,39.2
70,GTD,Marvin Kirchhofer,2,02:04.2,04:25.0,Yellow,Track,25.744,60.136,38.329
12,GTD,Aaron Telitz,2,02:04.3,04:25.5,Yellow,Track,25.837,60.071,38.392
1,GTD,Madison Snow,2,02:04.4,04:26.6,Yellow,Track,25.589,60.25,38.554
96,GTD,Robby Foley,2,02:06.3,04:28.7,Yellow,Track,26.55,61.925,37.853
47,GTD,Giorgio Sernagiotto,2,02:06.7,04:29.3,Yellow,Track,26.586,62.571,37.534
44,GTD,John Potter,2,02:06.2,04:31.8,Yellow,Track,26.29,63.055,36.823
66,GTD,Sheena Monk,2,02:07.4,04:33.0,Yellow,Track,26.927,63.521,36.916
78,GTD,Misha Goikhberg,2,02:10.1,04:36.7,Yellow,Track,26.655,65.022,38.389
023,GTD,Alessio Rovera,2,02:10.1,04:37.3,Yellow,Track,26.544,65.136,38.443
27,GTD,Ian James,2,02:12.1,04:39.1,Yellow,Track,27.076,66.079,38.973
57,GTD,Russell Ward,2,02:12.7,04:40.0,Yellow,Track,27.226,66.312,39.136
83,GTD,Rahel Frey,2,02:13.1,04:40.3,Yellow,Track,27.635,66.49,38.982
21,GTD,Simon Mann,2,02:12.8,04:41.2,Yellow,Track,26.921,66.723,39.174
16,GTD,Ryan Hardwick,2,02:13.3,04:41.9,Yellow,Track,26.88,67.081,39.359
77,GTD,Alan Brynjolfsson,2,02:13.9,04:43.2,Yellow,Track,26.749,67.764,39.394
80,GTD,PJ Hyett,2,02:13.9,04:43.5,Yellow,Track,26.892,67.69,39.348
42,GTD,Alessio Deledda,2,02:14.5,04:44.6,Yellow,Track,26.737,67.976,39.79
91,GTD,Alan Metni,2,02:14.3,04:45.5,Yellow,Track,26.768,67.488,40.086
92,GTD,David Brule,2,02:15.4,04:47.3,Yellow,Track,27.042,67.788,40.609
19,GTD,Claudio Schiavoni,2,02:14.6,04:49.1,Yellow,Track,27.542,67.523,39.58
75,GTD,Fabian Schiller,3,03:20.1,07:36.3,Yellow,Track,26.801,98.394,74.908
32,GTD,Mike Skeen,3,03:19.3,07:39.2,Yellow,Track,29.835,95.295,74.218
93,GTD,Kyle Marcelli,3,03:19.2,07:40.0,Yellow,Track,29.609,95.17,74.403
70,GTD,Marvin Kirchhofer,3,03:19.1,07:44.1,Yellow,Track,29.727,95.04,74.302
12,GTD,Aaron Telitz,3,03:19.7,07:45.2,Yellow,Track,29.839,95.381,74.511
1,GTD,Madison Snow,3,03:19.8,07:46.3,Yellow,Track,29.643,96.369,73.74
96,GTD,Robby Foley,3,03:21.3,07:50.0,Yellow,Track,29.576,98.964,72.763
47,GTD,Giorgio Sernagiotto,3,03:21.6,07:50.9,Yellow,Track,29.47,99.474,72.657
44,GTD,John Potter,3,03:21.1,07:52.9,Yellow,Track,29.922,99.361,71.847
66,GTD,Sheena Monk,3,03:21.0,07:54.0,Yellow,Track,29.538,99.786,71.701
78,GTD,Misha Goikhberg,3,03:20.4,07:57.1,Yellow,Track,27.955,99.542,72.943
023,GTD,Alessio Rovera,3,03:21.0,07:58.2,Yellow,Track,27.901,99.757,73.311
27,GTD,Ian James,3,03:21.3,08:00.3,Yellow,Track,28.023,99.492,73.739
57,GTD,Russell Ward,3,03:21.2,08:01.1,Yellow,Track,28.23,99.065,73.858
83,GTD,Rahel Frey,3,03:21.9,08:02.2,Yellow,Track,28.501,99.642,73.781
21,GTD,Simon Mann,3,03:21.8,08:03.0,Yellow,Track,28.129,100.116,73.565
16,GTD,Ryan Hardwick,3,03:22.4,08:04.2,Yellow,Track,28.234,100.321,73.801
77,GTD,Alan Brynjolfsson,3,03:21.7,08:04.9,Yellow,Track,28.969,99.575,73.141
42,GTD,Alessio Deledda,3,03:21.4,08:06.0,Yellow,Track,28.432,100.531,72.485
91,GTD,Alan Metni,3,03:21.5,08:07.0,Yellow,Track,28.322,100.626,72.547
92,GTD,David Brule,3,03:20.6,08:07.9,Yellow,Track,29.533,98.645,72.385
19,GTD,Claudio Schiavoni,3,03:22.1,08:11.1,Yellow,Track,30.713,98.504,72.845
80,GTD,PJ Hyett,3,03:21.5,08:05.0,Yellow,Pit,29.019,100.06,72.414
32,GTD,Mike Skeen,4,02:49.1,10:28.2,Green,Track,41.524,86.669,40.892
75,GTD,Fabian Schiller,4,02:52.1,10:28.4,Green,Track,41.456,87.074,43.542
93,GTD,Kyle Marcelli,4,02:48.7,10:28.7,Green,Track,41.281,86.545,40.87
12,GTD,Aaron Telitz,4,02:43.8,10:29.0,Green,Track,39.848,85.264,38.705
70,GTD,Marvin Kirchhofer,4,02:45.3,10:29.4,Green,Track,40.478,85.371,39.487
1,GTD,Madison Snow,4,02:43.2,10:29.5,Green,Track,39.611,84.827,38.764
96,GTD,Robby Foley,4,02:40.2,10:30.2,Green,Track,38.225,84.263,37.701
44,GTD,John Potter,4,02:37.8,10:30.7,Green,Track,39.79,81.475,36.539
47,GTD,Giorgio Sernagiotto,4,02:40.0,10:31.0,Green,Track,38.383,83.73,37.916
66,GTD,Sheena Monk,4,02:37.1,10:31.1,Green,Track,39.145,81.523,36.462
023,GTD,Alessio Rovera,4,02:33.1,10:31.3,Green,Track,38.65,79.333,35.089
78,GTD,Misha Goikhberg,4,02:34.1,10:31.3,Green,Track,38.974,79.57,35.565
27,GTD,Ian James,4,02:32.5,10:32.9,Green,Track,38.78,78.901,34.85
57,GTD,Russell Ward,4,02:32.2,10:33.4,Green,Track,38.919,78.505,34.812
83,GTD,Rahel Frey,4,02:32.0,10:34.2,Green,Track,38.553,78.139,35.323
21,GTD,Simon Mann,4,02:31.3,10:34.3,Green,Track,38.731,77.623,34.99
16,GTD,Ryan Hardwick,4,02:31.2,10:35.4,Green,Track,37.932,77.473,35.793
77,GTD,Alan Brynjolfsson,4,02:30.8,10:35.7,Green,Track,38.138,77.185,35.438
42,GTD,Alessio Deledda,4,02:30.0,10:36.0,Green,Track,37.519,77.1,35.351
91,GTD,Alan Metni,4,02:30.2,10:37.2,Green,Track,37.675,76.432,36.114
92,GTD,David Brule,4,02:29.5,10:37.4,Green,Track,38.264,75.489,35.782
19,GTD,Claudio Schiavoni,4,02:28.3,10:39.4,Green,Track,38.12,75.802,34.352
32,GTD,Mike Skeen,5,01:49.4,12:17.7,Green,Track,26.431,50.95,32.032
75,GTD,Fabian Schiller,5,01:50.5,12:18.9,Green,Track,26.764,50.733,33.013
12,GTD,Aaron Telitz,5,01:50.9,12:19.9,Green,Track,27.829,51.198,31.878
93,GTD,Kyle Marcelli,5,01:51.6,12:20.3,Green,Track,28.278,51.31,32.02
70,GTD,Marvin Kirchhofer,5,01:51.2,12:20.6,Green,Track,27.83,51.408,31.955
1,GTD,Madison Snow,5,01:52.1,12:21.6,Green,Track,27.551,52.258,32.274
96,GTD,Robby Foley,5,01:52.4,12:22.6,Green,Track,27.787,51.87,32.7
023,GTD,Alessio Rovera,5,01:52.1,12:23.4,Green,Track,27.213,52.173,32.674
44,GTD,John Potter,5,01:52.7,12:23.4,Green,Track,27.865,52.48,32.369
78,GTD,Misha Goikhberg,5,01:53.3,12:24.6,Green,Track,28.152,52.202,32.947
47,GTD,Giorgio Sernagiotto,5,01:53.5,12:24.5,Green,Track,28.2,52.521,32.822
57,GTD,Russell Ward,5,01:51.3,12:24.7,Green,Track,26.67,51.855,32.788
27,GTD,Ian James,5,01:52.8,12:25.7,Green,Track,27.283,52.38,33.171
66,GTD,Sheena Monk,5,01:54.9,12:26.0,Green,Track,28.684,52.547,33.638
83,GTD,Rahel Frey,5,01:52.2,12:26.4,Green,Track,26.25,52.394,33.556
21,GTD,Simon Mann,5,01:52.1,12:26.4,Green,Track,26.591,52.513,32.994
16,GTD,Ryan Hardwick,5,01:52.1,12:27.6,Green,Track,26.047,52.218,33.88
42,GTD,Alessio Deledda,5,01:51.8,12:27.8,Green,Track,26.565,51.943,33.288
77,GTD,Alan Brynjolfsson,5,01:52.7,12:28.4,Green,Track,26.922,52.643,33.163
91,GTD,Alan Metni,5,01:52.1,12:29.3,Green,Track,26.452,52.141,33.458
92,GTD,David Brule,5,01:52.7,12:30.1,Green,Track,26.763,52.6,33.367
19,GTD,Claudio Schiavoni,5,01:53.8,12:33.2,Green,Track,27.083,52.992,33.71
80,GTD,PJ Hyett,4,05:01.3,13:06.3,Green,Pit,199.937,53.837,47.515
32,GTD,Mike Skeen,6,01:47.2,14:04.8,Green,Track,25.037,50.143,31.993
75,GTD,Fabian Schiller,6,01:46.4,14:05.4,Green,Track,24.903,49.67,31.867
12,GTD,Aaron Telitz,6,01:47.4,14:07.3,Green,Track,25.248,50.242,31.88
93,GTD,Kyle Marcelli,6,01:47.3,14:07.6,Green,Track,25.463,49.862,32.002
70,GTD,Marvin Kirchhofer,6,01:47.2,14:07.8,Green,Track,25.497,49.985,31.676
1,GTD,Madison Snow,6,01:49.3,14:10.9,Green,Track,26.105,50.758,32.465
96,GTD,Robby Foley,6,01:49.5,14:12.1,Green,Track,25.966,51.195,32.388
023,GTD,Alessio Rovera,6,01:48.7,14:12.1,Green,Track,25.502,51.073,32.104
44,GTD,John Potter,6,01:49.1,14:12.5,Green,Track,26.042,50.806,32.253
47,GTD,Giorgio Sernagiotto,6,01:48.6,14:13.1,Green,Track,25.244,50.933,32.412
57,GTD,Russell Ward,6,01:49.0,14:13.7,Green,Track,26.102,50.764,32.182
27,GTD,Ian James,6,01:48.5,14:14.2,Green,Track,25.892,50.572,32.046
78,GTD,Misha Goikhberg,6,01:50.2,14:14.8,Green,Track,25.726,51.412,33.105
66,GTD,Sheena Monk,6,01:50.0,14:16.0,Green,Track,26.515,51.08,32.436
21,GTD,Simon Mann,6,01:50.4,14:16.8,Green,Track,26.388,51.343,32.635
83,GTD,Rahel Frey,6,01:50.7,14:17.1,Green,Track,26.548,51.483,32.647
16,GTD,Ryan Hardwick,6,01:50.3,14:17.9,Green,Track,25.675,51.58,33.065
42,GTD,Alessio Deledda,6,01:50.6,14:18.4,Green,Track,26.053,51.654,32.889
77,GTD,Alan Brynjolfsson,6,01:50.9,14:19.3,Green,Track,26.289,51.478,33.107
91,GTD,Alan Metni,6,01:51.1,14:20.4,Green,Track,25.997,51.911,33.227
92,GTD,David Brule,6,01:51.4,14:21.6,Green,Track,26.256,52.075,33.107
19,GTD,Claudio Schiavoni,6,01:52.1,14:25.3,Green,Track,26.686,52.352,33.089
80,GTD,PJ Hyett,5,02:14.7,15:21.0,Green,Track,48.674,52.835,33.144
32,GTD,Mike Skeen,7,01:46.8,15:51.6,Green,Track,25.181,49.753,31.838
75,GTD,Fabian Schiller,7,01:46.3,15:51.7,Green,Track,25.099,49.609,31.631
12,GTD,Aaron Telitz,7,01:46.8,15:54.1,Green,Track,25.177,49.985,31.683
93,GTD,Kyle Marcelli,7,01:47.0,15:54.7,Green,Track,25.325,49.926,31.786
70,GTD,Marvin Kirchhofer,7,01:47.0,15:54.7,Green,Track,25.701,49.814,31.456
1,GTD,Madison Snow,7,01:48.1,15:59.1,Green,Track,25.316,50.632,32.165
023,GTD,Alessio Rovera,7,01:47.8,15:59.8,Green,Track,25.399,50.626,31.727
44,GTD,John Potter,7,01:48.2,16:00.7,Green,Track,26.003,50.045,32.154
96,GTD,Robby Foley,7,01:49.2,16:01.3,Green,Track,25.822,50.821,32.556
47,GTD,Giorgio Sernagiotto,7,01:48.3,16:01.4,Green,Track,25.58,50.657,32.101
57,GTD,Russell Ward,7,01:47.8,16:01.5,Green,Track,25.588,50.125,32.044
27,GTD,Ian James,7,01:48.1,16:02.3,Green,Track,25.802,50.182,32.126
78,GTD,Misha Goikhberg,7,01:49.5,16:04.3,Green,Track,25.881,50.886,32.745
66,GTD,Sheena Monk,7,01:48.8,16:04.8,Green,Track,25.872,50.515,32.382
21,GTD,Simon Mann,7,01:48.5,16:05.3,Green,Track,25.536,50.637,32.303
83,GTD,Rahel Frey,7,01:49.0,16:06.1,Green,Track,25.782,50.769,32.43
16,GTD,Ryan Hardwick,7,01:50.0,16:07.9,Green,Track,25.91,51.337,32.717
42,GTD,Alessio Deledda,7,01:50.6,16:09.0,Green,Track,26.128,51.439,33.068
77,GTD,Alan Brynjolfsson,7,01:50.2,16:09.5,Green,Track,25.922,51.222,33.066
91,GTD,Alan Metni,7,01:50.6,16:11.0,Green,Track,26.045,51.453,33.106
92,GTD,David Brule,7,01:52.9,16:14.5,Green,Track,26.571,52.034,34.308
19,GTD,Claudio Schiavoni,7,01:51.1,16:16.4,Green,Track,26.247,51.734,33.108
80,GTD,PJ Hyett,6,01:50.7,17:11.6,Green,Track,25.862,51.604,33.197
32,GTD,Mike Skeen,8,01:46.7,17:38.3,Green,Track,25.109,49.644,31.926
75,GTD,Fabian Schiller,8,01:47.1,17:38.8,Green,Track,25.322,49.705,32.046
12,GTD,Aaron Telitz,8,01:47.0,17:41.2,Green,Track,25.316,50.057,31.666
70,GTD,Marvin Kirchhofer,8,01:46.5,17:41.2,Green,Track,25.356,49.74,31.391
93,GTD,Kyle Marcelli,8,01:47.6,17:42.3,Green,Track,25.766,50.093,31.741
1,GTD,Madison Snow,8,01:48.3,17:47.4,Green,Track,25.782,50.485,32.072
023,GTD,Alessio Rovera,8,01:48.1,17:47.9,Green,Track,25.37,50.774,31.973
44,GTD,John Potter,8,01:48.0,17:48.7,Green,Track,25.786,50.114,32.055
57,GTD,Russell Ward,8,01:47.8,17:49.3,Green,Track,25.728,50.291,31.813
96,GTD,Robby Foley,8,01:48.9,17:50.3,Green,Track,25.6,50.794,32.547
47,GTD,Giorgio Sernagiotto,8,01:49.3,17:50.8,Green,Track,26.114,50.881,32.325
27,GTD,Ian James,8,01:48.6,17:50.9,Green,Track,25.939,50.627,32.036
78,GTD,Misha Goikhberg,8,01:48.8,17:53.1,Green,Track,25.556,50.657,32.539
66,GTD,Sheena Monk,8,01:48.7,17:53.5,Green,Track,25.751,50.597,32.389
21,GTD,Simon Mann,8,01:48.6,17:53.9,Green,Track,25.565,50.751,32.309
83,GTD,Rahel Frey,8,01:48.6,17:54.7,Green,Track,25.452,50.712,32.44
16,GTD,Ryan Hardwick,8,01:49.9,17:57.7,Green,Track,25.998,51.129,32.723
42,GTD,Alessio Deledda,8,01:50.2,17:59.2,Green,Track,25.934,51.175,33.044
77,GTD,Alan Brynjolfsson,8,01:50.1,17:59.5,Green,Track,25.84,51.252,32.977
91,GTD,Alan Metni,8,01:50.2,18:01.2,Green,Track,25.728,51.489,33.012
92,GTD,David Brule,8,01:51.6,18:06.1,Green,Track,26.396,51.905,33.275
19,GTD,Claudio Schiavoni,8,01:51.5,18:07.9,Green,Track,26.472,52.056,32.965
80,GTD,PJ Hyett,7,02:04.8,19:16.4,Green,Pit,26.021,52.035,46.699
32,GTD,Mike Skeen,9,01:46.8,19:25.1,Green,Track,25.222,49.856,31.725
75,GTD,Fabian Schiller,9,01:47.0,19:25.8,Green,Track,25.451,49.804,31.76
70,GTD,Marvin Kirchhofer,9,01:46.8,19:28.0,Green,Track,25.38,49.68,31.699
