Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03
59,GTD,Jon Miller,1,02:06.0,02:06.0,Green,Track,27.16,50.126,32.015
57,GTD,Russell Ward,1,02:06.6,02:06.6,Green,Track,27.516,50.496,32.132
12,GTD,Frankie Montecalvo,1,02:07.2,02:07.2,Green,Track,27.162,50.681,32.335
70,GTD,Frederik Schandorff,1,02:09.0,02:09.0,Green,Track,28.196,51.383,31.804
75,GTD,Kenny Habul,1,02:09.1,02:09.1,Green,Track,28.146,51.248,32.423
28,GTD,Daniel Morad,1,02:10.1,02:10.1,Green,Track,28.142,51.736,32.719
32,GTD,Mike Skeen,1,02:10.4,02:10.4,Green,Track,28.028,52.195,32.72
39,GTD,Corey Lewis,1,02:11.4,02:11.4,Green,Track,28.506,51.777,33.327
98,GTD,David Pittard,1,02:11.4,02:11.4,Green,Track,28.263,51.837,32.918
44,GTD,John Potter,1,02:12.7,02:12.7,Green,Track,29.045,52.405,32.744
47,GTD,Giorgio Sernagiotto,1,02:13.0,02:13.0,Green,Track,28.628,52.408,32.755
19,GTD,Bill Sweedler,1,02:14.4,02:14.4,Green,Track,28.611,52.586,33.675
34,GTD,James Sofronas,1,02:14.7,02:14.7,Green,Track,28.622,52.885,32.797
16,GTD,Ryan Hardwick,1,02:15.4,02:15.4,Green,Track,29.527,53.673,33.323
21,GTD,Luis Perez Companc,1,02:16.0,02:16.0,Green,Track,28.99,52.743,33.59
66,GTD,Till Bechtolsheimer,1,02:16.1,02:16.1,Green,Track,29.271,53.003,33.923
96,GTD,Robby Foley,1,02:16.2,02:16.2,Green,Track,27.847,52.789,33.328
71,GTD,Misha Goikhberg,1,02:16.3,02:16.3,Green,Track,27.583,52.192,33.104
99,GTD,Nick Boulle,1,02:17.1,02:17.1,Green,Track,29.463,53.415,33.967
27,GTD,Ian James,1,02:18.3,02:18.3,Green,Track,28.888,52.454,33.459
42,GTD,Don Yount,1,02:18.4,02:18.4,Green,Track,30.15,53.665,33.731
64,GTD,Ted Giovanis,1,02:21.6,02:21.6,Green,Track,31.407,53.527,34.696
59,GTD,Jon Miller,2,01:46.4,03:52.3,Green,Track,25.382,49.417,31.585
57,GTD,Russell Ward,2,01:46.8,03:53.4,Green,Track,25.336,49.755,31.744
12,GTD,Frankie Montecalvo,2,01:47.7,03:54.9,Green,Track,26.059,49.966,31.689
70,GTD,Frederik Schandorff,2,01:46.5,03:55.5,Green,Track,25.362,49.632,31.469
75,GTD,Kenny Habul,2,01:48.1,03:57.2,Green,Track,25.645,49.946,32.49
28,GTD,Daniel Morad,2,01:47.3,03:57.4,Green,Track,25.704,49.591,31.959
32,GTD,Mike Skeen,2,01:47.8,03:58.2,Green,Track,25.784,49.977,32.042
98,GTD,David Pittard,2,01:47.9,03:59.3,Green,Track,25.947,50.012,31.926
39,GTD,Corey Lewis,2,01:48.0,03:59.4,Green,Track,25.719,50.008,32.27
47,GTD,Giorgio Sernagiotto,2,01:48.6,04:01.5,Green,Track,26.404,50.163,31.99
44,GTD,John Potter,2,01:49.4,04:02.1,Green,Track,26.502,50.373,32.56
19,GTD,Bill Sweedler,2,01:50.1,04:04.5,Green,Track,26.745,50.685,32.626
16,GTD,Ryan Hardwick,2,01:49.8,04:05.1,Green,Track,26.485,50.771,32.536
34,GTD,James Sofronas,2,01:50.5,04:05.2,Green,Track,26.74,50.868,32.867
71,GTD,Misha Goikhberg,2,01:49.4,04:05.6,Green,Track,26.468,50.909,31.976
99,GTD,Nick Boulle,2,01:49.6,04:06.7,Green,Track,26.58,50.573,32.421
66,GTD,Till Bechtolsheimer,2,01:50.6,04:06.7,Green,Track,27.11,50.809,32.679
21,GTD,Luis Perez Companc,2,01:51.0,04:07.1,Green,Track,26.419,51.981,32.641
27,GTD,Ian James,2,01:49.1,04:07.4,Green,Track,26.245,50.607,32.248
96,GTD,Robby Foley,2,01:52.3,04:08.4,Green,Track,25.967,53.43,32.863
42,GTD,Don Yount,2,01:51.8,04:10.2,Green,Track,27.116,51.466,33.242
64,GTD,Ted Giovanis,2,01:54.1,04:15.7,Green,Track,27.543,52.368,34.187
59,GTD,Jon Miller,3,01:48.1,05:40.4,Green,Track,25.595,50.022,32.487
57,GTD,Russell Ward,3,01:47.3,05:40.7,Green,Track,25.153,49.652,32.485
12,GTD,Frankie Montecalvo,3,01:46.3,05:41.1,Green,Track,25.125,49.515,31.637
70,GTD,Frederik Schandorff,3,01:46.1,05:41.5,Green,Track,25.315,49.272,31.505
75,GTD,Kenny Habul,3,01:47.1,05:44.2,Green,Track,25.496,49.631,31.931
28,GTD,Daniel Morad,3,01:47.1,05:44.4,Green,Track,25.534,49.743,31.778
32,GTD,Mike Skeen,3,01:47.6,05:45.8,Green,Track,26.294,49.646,31.69
98,GTD,David Pittard,3,01:46.6,05:45.8,Green,Track,25.625,49.49,31.476
39,GTD,Corey Lewis,3,01:48.1,05:47.5,Green,Track,25.99,49.957,32.192
47,GTD,Giorgio Sernagiotto,3,01:47.1,05:48.7,Green,Track,25.594,49.742,31.79
44,GTD,John Potter,3,01:48.1,05:50.2,Green,Track,25.79,49.926,32.345
19,GTD,Bill Sweedler,3,01:48.6,05:53.0,Green,Track,25.957,50.23,32.4
16,GTD,Ryan Hardwick,3,01:48.0,05:53.1,Green,Track,25.74,49.972,32.261
34,GTD,James Sofronas,3,01:48.8,05:54.0,Green,Track,25.876,50.435,32.479
71,GTD,Misha Goikhberg,3,01:48.6,05:54.2,Green,Track,25.806,50.321,32.44
99,GTD,Nick Boulle,3,01:47.7,05:54.4,Green,Track,25.68,49.725,32.312
21,GTD,Luis Perez Companc,3,01:48.4,05:55.5,Green,Track,26.211,49.9,32.279
66,GTD,Till Bechtolsheimer,3,01:48.8,05:55.5,Green,Track,26.127,50.139,32.519
27,GTD,Ian James,3,01:48.3,05:55.7,Green,Track,26.113,50.255,31.903
96,GTD,Robby Foley,3,01:47.9,05:56.3,Green,Track,25.489,50.358,32.058
42,GTD,Don Yount,3,01:50.5,06:00.8,Green,Track,26.285,51.154,33.109
64,GTD,Ted Giovanis,3,01:53.2,06:08.9,Green,Track,27.191,52.028,34.003
59,GTD,Jon Miller,4,01:46.9,07:27.3,Green,Track,25.792,49.361,31.712
70,GTD,Frederik Schandorff,4,01:47.6,07:29.2,Green,Track,26.487,49.6,31.543
57,GTD,Russell Ward,4,01:49.8,07:30.5,Green,Track,27.896,50,31.881
12,GTD,Frankie Montecalvo,4,01:50.6,07:31.7,Green,Track,27.713,50.957,31.898
28,GTD,Daniel Morad,4,01:47.8,07:32.3,Green,Track,25.494,50.33,32.024
75,GTD,Kenny Habul,4,01:48.4,07:32.7,Green,Track,25.408,50.903,32.12
98,GTD,David Pittard,4,01:47.2,07:33.1,Green,Track,25.548,49.647,32.025
32,GTD,Mike Skeen,4,01:47.9,07:33.7,Green,Track,25.202,50.283,32.38
39,GTD,Corey Lewis,4,01:47.1,07:34.6,Green,Track,24.999,49.503,32.599
47,GTD,Giorgio Sernagiotto,4,01:46.6,07:35.2,Green,Track,25.374,49.316,31.865
